Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
12/2024,108971/05,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.107,70","1.107,70",Em aberto,00/00/0000,10/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,12/12/2024
12/2024,4760/6,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,30/12/2024
12/2024,07/2024/5,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,02/12/2024
12/2024,109790/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"3.752,00","3.752,00",Em aberto,00/00/0000,27/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,07/12/2024
12/2024,109579/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"4.928,00","4.928,00",Em aberto,00/00/0000,30/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,04/12/2024
12/2024,36737,Motoeste Transportadora e Serviços Ltda,700,700,Em aberto,00/00/0000,29/07/2024,Boleto Bancário,MOTOESTE,Itaú,-,04/12/2024
12/2024,36737,Motoeste Transportadora e Serviços Ltda,700,700,Em aberto,00/00/0000,29/07/2024,Boleto Bancário,MOTOESTE,Itaú,-,11/12/2024
12/2024,36737,Motoeste Transportadora e Serviços Ltda,700,700,Em aberto,00/00/0000,29/07/2024,Boleto Bancário,MOTOESTE,Itaú,-,18/12/2024
12/2024,36737,Motoeste Transportadora e Serviços Ltda,700,700,Em aberto,00/00/0000,29/07/2024,Boleto Bancário,MOTOESTE,Itaú,-,25/12/2024
12/2024,5010/5,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,16/12/2024
12/2024,110272/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.769,25","2.769,25",Em aberto,00/00/0000,09/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/12/2024
12/2024,1/36/5,Itau,"4.393,57","4.393,57",Em aberto,00/00/0000,14/08/2024,-,Financiamento/capital de giro,Itaú,-,26/12/2024
12/2024,033055/03,G & S HOME SOLUTIONS,"8.067,34","8.067,34",Em aberto,00/00/0000,28/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,01/12/2024
12/2024,033258/03,G & S HOME SOLUTIONS,"5.158,00","5.158,00",Em aberto,00/00/0000,04/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,01/12/2024
12/2024,033510/03,G & S HOME SOLUTIONS,"5.396,00","5.396,00",Em aberto,00/00/0000,13/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/12/2024
12/2024,016462/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"5.518,22","5.518,22",Em aberto,00/00/0000,13/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,112148/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.314,00","1.314,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/12/2024
12/2024,5642/2,Aliança Imóveis,"8.000,00","8.000,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Aluguel,Itaú,-,16/12/2024
12/2024,037373/05,EasyTech Shield Brasil LTDA,"5.386,54","5.386,54",Em aberto,00/00/0000,18/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,1028/3,Muito Alem da Impressão Sempre Ltda - Grafica MAIS,730,730,Em aberto,00/00/0000,19/09/2024,-,Limpeza e manutenção,Sicredi,-,30/12/2024
12/2024,PREVISÃO/4,Simples Nacional,"1.195,69","1.195,69",Em aberto,00/00/0000,19/09/2024,-,Impostos sobre vendas,Itaú,-,30/12/2024
12/2024,326556/03,CHIAPERINI INDUSTRIAL LTDA,"1.056,00","1.056,00",Em aberto,00/00/0000,24/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/12/2024
12/2024,033937/03,G & S HOME SOLUTIONS,"5.362,80","5.362,80",Em aberto,00/00/0000,26/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/12/2024
12/2024,883992,Boa Vista Serviços S/A,"101,07","101,07",Em aberto,00/00/0000,21/11/2024,-,Boa Vista Analise de Credito,Itaú,-,09/12/2024
12/2024,016969/04,NANO4YOU BRASIL NANOTECNOLOGIA SA,"6.422,78","6.422,78",Em aberto,00/00/0000,27/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,25/12/2024
12/2024,112658/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.000,43","1.000,43",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/12/2024
12/2024,112666/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.026,08","2.026,08",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/12/2024
12/2024,112752/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"3.725,58","3.725,58",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/12/2024
12/2024,11823/3,Gotarget Softwares Ltda,200,200,Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Gotarget,Itaú,-,05/12/2024
12/2024,146131/2,Seguros Sura S/A,"63,64","63,64",Em aberto,00/00/0000,04/10/2024,Boleto Bancário,-,Itaú,-,03/12/2024
12/2024,034192/02,G & S HOME SOLUTIONS,"8.767,33","8.767,33",Em aberto,00/00/0000,09/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,101859/03,EVC INDUSTRIAL LTDA,"930,04","930,04",Em aberto,00/00/0000,09/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
